,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
69,,"Raisya Syifa indah Rina","2021-04-17 17:31:29",0,no,no,"Keiko makan pentol mulu sih kan aku jadi bosen nonton videonya kok pentol mulu sih oh aku pindah channel BAY",UCOJpTiRX3QKSrgN0JHDeFyA,UgwDTkfEhUm8q7tk1k94AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgwDTkfEhUm8q7tk1k94AaABAg
70,,"Raisya Syifa indah Rina","2021-04-17 17:32:53",0,no,no,😡😡😡😡😡😡😤😤😤😤😤😤😤,UCOJpTiRX3QKSrgN0JHDeFyA,UgwfJIL3DLPzzob9Kqh4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgwfJIL3DLPzzob9Kqh4AaABAg
71,,"Sans Ez","2021-04-17 18:26:38",0,no,no,"14:12 wkwkwk",UCW_ytwlDL-SKGD_3GJuhzVQ,UgzVf9RWqagrMXtKdyl4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzVf9RWqagrMXtKdyl4AaABAg
72,,"VioVelis TV","2021-04-17 19:35:14",0,no,no,"Sukses selalu ya kak 🙏",UCYaIg8lMh0iE2HcmuYxmSUA,UgwVGEAzqwenQnNNfN14AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgwVGEAzqwenQnNNfN14AaABAg
73,,"let's kill this love BLACPINK","2021-04-17 21:05:19",0,no,no,"Kekeyi coba bwt slime👍
Yg gampang toh😎
Klu nda d bwtin nanti nyesel loh",UC9opI8pulY1-vVBhuBZqIJw,UgweqR4uvpU7VACIO4d4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgweqR4uvpU7VACIO4d4AaABAg
74,,"Ilham Ham","2021-04-17 23:36:41",0,no,no,"Semangat kak aku dukung kakak vidio nya bagus kak aku udah Like kak",UCHM6pHcYr4oyGWmXhHfkYAg,Ugxt01tuC5oESlg8uJ14AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugxt01tuC5oESlg8uJ14AaABAg
75,,"Vito Lavito","2021-04-18 01:22:09",0,no,no,"Kurang banyak qi",UCC3MpdyJndysYtHP1gdPMCQ,UgyVgzC985-9MAOW9Ot4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgyVgzC985-9MAOW9Ot4AaABAg
76,,"ARRO • KILER KILS","2021-04-18 02:01:37",0,no,no,"cuma ini yg buat ku selera saat puasa",UCVXCp-erxSi_9TlTZCXO4sA,UgxNsVBGCvLiF59ONON4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgxNsVBGCvLiF59ONON4AaABAg
77,,Inna,"2021-04-18 04:15:52",0,no,no,"""aku masukin ya?""",UCm6YJ-t2odySF3uSdU_hXGA,UgzcOkwGsm8E0fpQXBd4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzcOkwGsm8E0fpQXBd4AaABAg
78,,"900 Trisno","2021-04-18 04:30:20",0,no,no,"Maaf ya kalo makan jangan sambil ngomong kak nanti keselek",UCTAo-iyQBOkZfz4bphw30Tw,UgzpHpH_YRsRF9Yecj94AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzpHpH_YRsRF9Yecj94AaABAg
79,,"Sherly official","2021-04-18 04:48:58",3,no,no,"Siapa yg nonton pas lagi puasa 2021 :)",UC9o8eNfbNZ3C7fTao9dx7yQ,Ugy1NYsQ4TJ8IgJO3gJ4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugy1NYsQ4TJ8IgJO3gJ4AaABAg
80,,Reihan•mood,"2021-04-18 05:57:30",0,no,no,"sing ngomong carane mangan iku aneh ora apa-apa. Kabeh wong carane mangan APA ANA ANA ANEH ana sing apik, saiki sampeyan malah nyenyamah aku ora njaluk nyalah-nyalahake wong mlarat. Wong kesel nggawe video lan seneng iki",UC4pe1xBntnVP02jpbmO0Ujw,Ugxyb1hSkfC-weR2tg14AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugxyb1hSkfC-weR2tg14AaABAg
81,,ilham,"2021-04-18 07:19:10",0,no,no,"Pentol nya mirip yang makan",UCmp0rMeZck27ySYk4j7xXKg,Ugy2RpjjJCEcFRwTm1J4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugy2RpjjJCEcFRwTm1J4AaABAg
82,,"alisha adawiyah muhammad alfatih","2021-04-18 10:45:26",0,no,no,"Siapa nonton bulan 2021 apa aku aja",UC1SgXrEFoApFn3tMl0zIf1A,Ugy6gCFsw57AFqHoofp4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugy6gCFsw57AFqHoofp4AaABAg
83,,"GERALD ID","2021-04-18 13:40:28",0,no,no,dahlah,UCGTF55rks2wb4Uv6JIT5Puw,UgwrsJNfHZkl-bQ2Vf14AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgwrsJNfHZkl-bQ2Vf14AaABAg
84,,ana,"2021-04-18 14:05:27",0,no,no,"Menghibur yah bund:v",UCfRNK8MdsO6zGDFN1E4-SvQ,UgxRoSE7eL8uzmwk3R14AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgxRoSE7eL8uzmwk3R14AaABAg
85,,ana,"2021-04-18 14:06:27",0,no,no,"Kekeyi coba makan elsa 😌",UCfRNK8MdsO6zGDFN1E4-SvQ,UgwtlGDQgnCGMoogJ5F4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgwtlGDQgnCGMoogJ5F4AaABAg
